행정동,도로명주소,지번주소,위도,경도
홍지동,서울특별시 종로구 홍지문길 56,서울특별시?종로구?홍지동 69-1 완성빌라,37.6032521,126.9580987
홍지동,서울특별시 종로구 홍지문길 36,서울특별시 종로구 홍지동 69-49번지,37.6017372,126.9579726
홍지동,서울특별시 종로구 홍지문길 23,서울특별시 종로구 홍지동 66-2,37.6016102,126.9568533
부암동,서울특별시 종로구 자하문로 41길 4,서울특별시 종로구 부암동 185-6,37.5976575,126.9622874
부암동,서울특별시 종로구 자하문로 38길 41,서울특별시 종로구 부암동 210-24번지,37.5940724,126.9654739
구기동,서울특별시 종로구 비봉5길 15,서울특별시 종로구 구기동 230-88,37.6136811,126.9544761
구기동,서울특별시 종로구 비봉길 88,서울특별시 종로구 구기동 224,37.6151544,126.9539909
부암동,서울특별시 종로구 백석동길 40,서울특별시 종로구 부암동 48-4번지,37.5937423,126.9668826
부암동,서울특별시 종로구 백석동길 61,서울특별시 종로구 부암동 44-2,37.5941837,126.9678956
명륜동,서울특별시 종로구 혜화로5길15,서울특별시 종로구 명륜1가 36-35,37.5867041,126.9991587
명륜동,서울특별시 종로구 혜화로5길52,서울특별시 종로구 명륜1가 36-16 영은타운,37.5872658,126.9995248
명륜동,서울특별시 종로구 성균관로10길25,서울특별시 종로구 명륜1가 33-56,37.5885086,126.9983872
명륜동,서울특별시 종로구 성균관로17길28,서울특별시 종로구 명륜1가 2-19 진양빌라,37.5905909,126.9974308
명륜동,서울특별시 종로구 성균관로13길13,서울특별시 종로구 명륜1가 7-2,37.5897041,126.9969897
명륜동,서울특별시 종로구 성균관로13길4,서울특별시 종로구 명륜1가 5-21,37.5895176,126.9973093
명륜동,서울특별시 종로구 성균관로70,서울특별시 종로구 명륜1가 16-66,37.5887871,126.9972285
명륜동,서울특별시 종로구 성균관로10길4,서울특별시 종로구 명륜1가 16-8,37.5883897,126.9971206
명륜동,서울특별시 종로구 성균관로56-1,서울특별시 종로구 명륜1가 16-31,37.5877021,126.9967902
명륜동,서울특별시 종로구 성균관로14길48,서울특별시 종로구 명륜1가 67 명륜우정빌라,37.5872393,126.9974644
명륜동,서울특별시 종로구 성균관로7길22-8,서울특별시 종로구 명륜3가 3-7,37.5872834,126.9962976
명륜동,서울특별시 종로구 명륜1길9,서울특별시 종로구 명륜3가 1-814,37.5882813,126.9949707
명륜동,서울특별시 종로구 성균관로7길39,서울특별시 종로구 명륜3가 50-3,37.5881602,126.9955611
명륜동,서울특별시 종로구 성균관로5길29,서울특별시 종로구 명륜3가 72-7,37.5845665,126.9957341
명륜동,서울특별시 종로구 성균관로5길43,서울특별시 종로구 명륜3가 66-4 인덕주택,37.5850204,126.9950712
청운동,서울특별시 종로구 자하문로 33길 22-2,서울특별시 종로구 청운동 52-82,37.5863527,126.9688077
청운동,서울특별시 종로구 자하문로33길 32,서울특별시 종로구 청운동 52-62,37.5864819,126.9681265
청운동,서울특별시 종로구 자하문로 33다길 47-4,서울특별시 종로구 청운동 52-111,37.5867612,126.9670923
신교동,서울특별시 종로구 자하문로 21길 10,서울특별시 종로구 신교동 17-3,37.5832068,126.9696889
신교동,서울특별시 종로구 필운대로 13길 11,서울특별시 종로구 신교동 2-77,37.5847951,126.9668704
신교동,서울특별시 종로구 필운대로 10길 17,서울특별시 종로구 신교동 6-22 유니온빌,37.5838383,126.9677215
옥인동,서울특별시 종로구 자하문로 17길 36,서울특별시 종로구 옥인동 34-1,37.5814233,126.9687285
옥인동,서울특별시 종로구 필운대로 69,서울특별시 종로구 옥인동 56 세종아파트,37.5820091,126.9677014
옥인동,서울특별시 종로구 옥인 5길 7,서울특별시 종로구 옥인동 180 ,37.5826327,126.9648397
옥인동,서울특별시 종로구 옥인 4길 25,서울특별시 종로구 옥인동 178-24 진영아트빌,37.5819325,126.9651324
누상동,서울특별시 종로구 옥인 3길 10,서울특별시 종로구 누상동 28-1,37.5808067,126.9662236
누상동,서울특별시 종로구 옥인 3길 32-1,서울특별시 종로구 누상동 166-3 덕산빌라,37.5798917,126.9656475
누상동,서울특별시 종로구 옥인 3길 18-7,서울특별시 종로구 누상동 29-23 정암빌라,37.5808921,126.9656789
누상동,서울특별시 종로구 옥인 6길 19,서울특별시 종로구 누상동 166-124,37.5811177,126.9646908
누상동,서울특별시 종로구 옥인 6길 14,서울특별시 종로구 누상동 166-131 계동빌라,37.5813758,126.9643251
누상동,서울특별시 종로구 옥인 6가길 22,서울특별시 종로구 누상동 166-65 우리빌,37.5813032,126.9652996
누하동,서울특별시 종로구 필운대로 5나길 17,서울특별시 종로구 누하동 113,37.5798983,126.9674362
누하동,서울특별시 종로구 필운대로 25-4,서울특별시 종로구 누하동 255-2,37.5782814,126.9690322
사직동,서울특별시 종로구 사직로 9길 1,서울특별시 종로구 사직동 1-28 사직동주민센터,37.5762755,126.9683919
사직동,서울특별시 종로구 사직로 9길 16-1,서울특별시 종로구 사직동 1-43,37.5770916,126.9679505
필운동,서울특별시 종로구 필운대로 1길 40,서울특별시?종로구?필운동 36,37.5779873,126.9673381
창성동,서울특별시 종로구 자하문로 12길 33,서울특별시 종로구 창성동 109-6,37.5806956,126.9720671
